-----------------------------------------------------------------
                ##List of changed function names##
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

#
# This was done to follow the javascript code
# standard
#

Old Name                        New Name
-----------------------------------------------------------------
initcanvas                      initializeCanvas
linedist                        isHovered
clearsel                        clearAllSelects
drawpoints                      drawPoints
addpoint                        addPoint
distance                        closestPoint
adjust                          adjustPoints
delete                          deleteObject
insides                         targetItemsInsideSelectionBox
inside                          isClicked
inside                          itemClicked
enableGrid                      toggleGrid
canvassize                      canvasSize
updategfx                       updateGraphics
classmode                       classMode
attrmode                        attrMode
entitymode                      entityMode
linemode                        lineMode
figuremode                      figureMode
relationmode                    relationMode
hashfunction                    hashFunction
removeLocal                     removeLocalStorage
