-----------------------------------------------------------------
                ##List of changed variable names##
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

#
# This was done to follow the javascript code
# standard
#

Old Name                        New Name
-----------------------------------------------------------------
private_lines                   privateLines
dist                            distance
ind                             index
xk                              xCoordinate
yk                              yCoordinate
dx                              deltaX
dy                              deltaY
dd                              hypotenuseElevatedBy2
selval                          isSelected
ctx                             canvasContext
sx                              startX
sy                              startY
ex                              endX
ey                              endY
x1                              topLeftX
y1                              topLeftY
x2                              bottomRightX
y2                              bottomRightY
px                              width
py                              height
len                             boxHypotenuseElevatedBy2
centerpoint                     centerPoint
connected_objects               
private_points                  privatePoints
selobj                          lastSelectedObject
ev                              event
private_objects                 privateObjects
object_points                   objectPoints
current_hash                    currentHash
diagram_names                   diagramNames
lastDiagramedit                 lastDiagramEdit
timediffrence                   timeDiffrence
last_edit                       lastEdit
line_width                      lineWidth
cx                              currentMouseCoordinateX
cy                              currentMouseCoordinateY
sx                              startMouseCoordinateX
sy                              startMouseCoordinateY
mox                             oldMouseCoordinateX
moy                             oldMouseCoordinateY
